region_code,region_name,division_code,division_name,state_abbr,state_code,state_name,year,popestimate,npopchg,births,deaths,naturalinc,internationalmig,domesticmig,netmig,residual,rbirth,rdeath,rnaturalinc,rinternationalmig,rdomesticmig,rnetmig,percap_real_inc,employment_10,employment_20,employment_40,employment_50,employment_60,employment_70,employment_80,employment_90,employment_100,employment_200,employment_300,employment_400,employment_500,employment_600,employment_700,employment_800,employment_900,employment_1000,employment_1100,employment_1200,employment_1300,employment_1400,employment_1500,employment_1600,employment_1700,employment_1800,employment_1900,employment_2000,employment_2001,employment_2002,employment_2010,employment_2011,employment_2012
3,South,7,West South Central,LA,22,Louisiana,2019,4648794,-10896,58498,46343,12155,3040,-26045,-23005,-46,12.568749,9.9571533,2.6115961,.65316761,-5.5959702,-4.9428029,46071,2690820,2048769,642051,23710,618341,31599,2659221,2299253,19201,70576,9194,197948,146112,77285,281920,104566,29743,108561,118421,141821,30038,153304,55674,312186,53618,221558,167527,359968,30807,36255,292906,79865,213041
3,South,7,West South Central,LA,22,Louisiana,2018,4659690,-10870,59870,46238,13632,3293,-27776,-24483,-19,12.833526,9.911417,2.9221082,.70587605,-5.9539671,-5.2480907,46775,2434481,2012261,422220,22945,399275,30638,2403843,1987021,19528,50896,9952,168599,158728,81217,266080,89420,34728,87780,82000,117329,23065,129934,42897,243822,53131,178824,149091,416822,34655,41333,340834,116499,224335
1,Northeast,1,New England,ME,23,Maine,2019,1344212,5155,12073,14335,-2262,852,6613,7465,-48,8.9987249,10.684729,-1.6860032,.6350463,4.9290624,5.5641084,41553,828212,635466,192746,7348,185398,10052,818160,705334,15460,723,2110,63291,64193,23882,105883,22642,12765,32518,28998,42609,6638,37382,17068,112213,18547,56925,41487,112826,14150,9055,89621,28208,61413
1,Northeast,1,New England,ME,23,Maine,2018,1339057,4445,12252,14416,-2164,874,5768,6642,-33,9.1649342,10.783684,-1.6187494,.65378326,4.3146701,4.9684534,41013,794507,627164,167343,6909,160434,10811,783696,671478,14369,491,2091,57894,68285,23037,105651,19260,12998,33052,22756,38807,6067,34030,15347,103570,17611,55377,40785,112218,14098,10381,87739,26616,61123
3,South,5,South Atlantic,MD,24,Maryland,2019,6045680,9878,70091,51453,18638,15011,-23665,-8654,-106,11.603046,8.517664,3.0853832,2.4849601,-3.9175658,-1.4326057,54883,3359485,2633448,726037,10800,715237,15104,3344381,2787083,6390,3853,10624,214261,126910,96457,334361,89709,59816,166728,164101,328486,22160,201001,90546,388917,74870,210368,197525,557298,163399,46350,347549,100987,246562
3,South,5,South Atlantic,MD,24,Maryland,2018,6035802,11934,71389,50845,20544,15809,-24353,-8544,-66,11.839295,8.4322376,3.4070585,2.6217964,-4.0387506,-1.4169542,54041,3692575,2829670,862905,11066,851839,19410,3673165,3105685,6525,4012,10683,235512,117777,95401,346845,150556,51380,164772,187057,359317,28742,235891,106831,442408,92482,255759,213735,567480,175844,49324,342312,98514,243798
1,Northeast,1,New England,MA,25,Massachusetts,2018,6882635,22846,70696,58890,11806,38352,-27223,11129,-89,10.288723,8.5705404,1.718183,5.5815482,-3.9618921,1.6196561,54445,4028638,3316178,712460,5390,707070,9512,4019126,3582886,11382,2756,10489,228299,322372,147130,411738,93236,98938,222536,144861,356803,64778,215439,198315,494175,91441,259501,208697,436240,51310,20715,364215,113478,250737
1,Northeast,1,New England,MA,25,Massachusetts,2019,6892503,9868,70419,58564,11855,28426,-30274,-1848,-139,10.224072,8.5028553,1.7212169,4.1271458,-4.3954549,-.26830947,61446,4854274,3777588,1076686,6194,1070492,10399,4843875,4378042,10187,2576,12455,258977,259980,138243,425670,177836,106715,286889,213822,487188,77499,251802,252327,700526,131118,334440,249792,465833,45978,19155,400700,126321,274379
1,Northeast,1,New England,MA,25,Massachusetts,2019,6892503,9868,70419,58564,11855,28426,-30274,-1848,-139,10.224072,8.5028553,1.7212169,4.1271458,-4.3954549,-.26830947,51464,4253327,3420747,832580,6496,826084,10929,4242398,3789178,,,10902,201784,263666,132396,397266,97544,99566,267614,172862,401192,65004,219682,218377,617685,105578,290756,214028,453220,47442,20555,385223,125684,259539
1,Northeast,1,New England,MA,25,Massachusetts,2019,6892503,9868,70419,58564,11855,28426,-30274,-1848,-139,10.224072,8.5028553,1.7212169,4.1271458,-4.3954549,-.26830947,52421,4631417,3610339,1021078,6467,1014611,11534,4619883,4159329,9962,3803,12215,236422,263630,143188,414929,137638,103057,273764,195635,457368,67393,243807,243757,674267,121274,314032,243188,460554,45960,19822,394772,126403,268369
2,Midwest,3,East North Central,MI,26,Michigan,2018,9984072,10958,110376,96260,14116,13645,-16639,-2994,-164,11.061279,9.6466503,1.4146283,1.3674272,-1.6674695,-.3000423,40496,5038194,3936587,1101607,46869,1054738,63240,4974954,4323483,15085,19306,20078,218708,491546,165965,537662,127152,70478,222565,222344,344635,51685,335109,103172,636286,100991,346914,293802,651471,57495,20725,573251,178954,394297
2,Midwest,3,East North Central,MI,26,Michigan,2019,9986857,2785,109472,95983,13489,13146,-23670,-10524,-180,10.963136,9.6122723,1.3508636,1.3165137,-2.3704455,-1.053932,41414,5526201,4668086,858115,54199,803916,73091,5453110,4754342,13724,14293,21607,305196,845420,195842,645399,135150,87554,208288,181308,356162,66138,324429,73296,544799,98019,350266,287452,698768,54648,21993,622127,172664,449463
2,Midwest,4,West North Central,MN,27,Minnesota,2018,5606249,40019,67861,43494,24367,9256,6566,15822,-170,12.147886,7.7859178,4.3619685,1.6569287,1.1753882,2.8323169,45929,3505578,2789630,715948,64263,651685,81854,3423724,3006894,13622,12139,13257,154351,320141,138843,346890,108694,61959,212686,138571,206603,77055,171474,86973,453793,82106,218831,188906,416830,31672,20679,364479,92406,272073
2,Midwest,4,West North Central,MN,27,Minnesota,2019,5639632,33383,67642,43200,24442,9113,65,9178,-237,12.029649,7.6828132,4.3468361,1.6206822,.011559788,1.6322421,52980,3408753,2707721,701032,66042,634990,85342,3323411,2902469,13146,9730,13379,146414,305508,133558,340656,102949,62153,203984,133730,200622,72775,163123,86424,441072,78177,210527,184542,420942,34714,20887,365341,91626,273715
3,South,6,East South Central,MS,28,Mississippi,2019,2976149,-4871,35978,31536,4442,1429,-10740,-9311,-2,12.078892,10.58758,1.4913124,.47975808,-3.6057396,-3.1259816,37343,1532583,1179070,353513,32105,321408,39046,1493537,1216746,14764,17255,8212,89372,142390,38547,165002,53978,15666,56691,47344,55040,11894,92193,25813,150069,20993,121415,90108,276791,25525,29259,222007,66148,155859
3,South,6,East South Central,MS,28,Mississippi,2018,2981020,-7490,36832,31603,5229,2013,-14775,-12762,43,12.34,10.588103,1.7518967,.67442495,-4.9501386,-4.2757134,39723,1568218,1201889,366329,31406,334923,40781,1527437,1253380,14635,16635,8310,82866,147241,41745,170896,58947,16625,55320,50367,56497,12040,96922,25799,154440,20760,127747,95588,274057,25284,27261,221512,67115,154397
2,Midwest,4,West North Central,MO,29,Missouri,2018,6121623,14953,72323,60322,12001,5755,-2697,3058,-106,11.828797,9.8659725,1.9628251,.94125974,-.44110817,.50015157,46844,3586453,2877047,709406,94909,614497,103920,3482533,3002837,11283,7167,12344,232270,317955,132956,393693,124683,70928,162917,138644,182225,70666,185391,70270,363814,69318,250260,206053,479696,57377,38069,384250,112278,271972
2,Midwest,4,West North Central,MO,29,Missouri,2019,6137428,15805,71297,60141,11156,5503,-710,4793,-144,11.631732,9.8116894,1.820043,.89778566,-.11583278,.78195286,43884,3596751,2834938,761813,88950,672863,96081,3500670,3027657,13682,9230,12344,180894,268889,136054,377083,121611,61158,185356,147679,197863,68892,203124,81696,422528,75599,259085,204890,473013,56958,35583,380472,104139,276333
4,West,8,Mountain,MT,30,Montana,2019,1068778,8113,11618,9870,1748,322,6024,6346,19,10.911774,9.27003,1.6417439,.30242652,5.6578174,5.9602442,46827,660524,479397,181127,23424,157703,30291,630233,534707,7732,13667,3233,44680,23461,20873,75389,20115,8113,24833,34979,36987,2505,24995,9166,73015,19834,56258,34872,95526,13050,8046,74430,27362,47068
