region_code,region_name,division_code,division_name,state_abbr,state_code,state_name,year,age_group,race,popestimate
2,Midwest,3,East North Central,IL,17,Illinois,2017,4,7,255557
2,Midwest,3,East North Central,IL,17,Illinois,2019,5,4,75755
2,Midwest,3,East North Central,IL,17,Illinois,2017,2,5,651
2,Midwest,3,East North Central,IL,17,Illinois,2019,1,3,1792
2,Midwest,3,East North Central,IL,17,Illinois,2018,6,1,1518485
2,Midwest,3,East North Central,IL,17,Illinois,2019,6,7,146343
2,Midwest,3,East North Central,IL,17,Illinois,2019,4,1,996199
2,Midwest,3,East North Central,IL,17,Illinois,2019,2,6,29200
2,Midwest,3,East North Central,IL,17,Illinois,2018,4,3,2717
2,Midwest,3,East North Central,IL,17,Illinois,2017,2,7,338871
2,Midwest,3,East North Central,IL,17,Illinois,2018,2,3,2795
2,Midwest,3,East North Central,IL,17,Illinois,2018,4,7,262416
2,Midwest,3,East North Central,IL,17,Illinois,2017,2,1,1013090
2,Midwest,3,East North Central,IL,17,Illinois,2019,4,2,219790
2,Midwest,3,East North Central,IL,17,Illinois,2019,4,4,98140
2,Midwest,3,East North Central,IL,17,Illinois,2018,2,5,648
2,Midwest,3,East North Central,IL,17,Illinois,2017,6,6,9876
2,Midwest,3,East North Central,IL,17,Illinois,2018,5,5,431
2,Midwest,3,East North Central,IL,17,Illinois,2018,1,1,625637
2,Midwest,3,East North Central,IL,17,Illinois,2018,6,7,138027
2,Midwest,3,East North Central,IL,17,Illinois,2019,6,6,11001
2,Midwest,3,East North Central,IL,17,Illinois,2019,1,7,260936
2,Midwest,3,East North Central,IL,17,Illinois,2019,2,7,338223
2,Midwest,3,East North Central,IL,17,Illinois,2019,1,5,390
2,Midwest,3,East North Central,IL,17,Illinois,2019,2,5,647
2,Midwest,3,East North Central,IL,17,Illinois,2017,5,3,2852
2,Midwest,3,East North Central,IL,17,Illinois,2019,2,1,983462
2,Midwest,3,East North Central,IL,17,Illinois,2019,5,7,175441
2,Midwest,3,East North Central,IL,17,Illinois,2018,4,4,96237
2,Midwest,3,East North Central,IL,17,Illinois,2017,3,6,17406
2,Midwest,3,East North Central,IL,17,Illinois,2017,6,2,223364
2,Midwest,3,East North Central,IL,17,Illinois,2019,3,6,18412
2,Midwest,3,East North Central,IL,17,Illinois,2018,2,6,27668
2,Midwest,3,East North Central,IL,17,Illinois,2019,6,3,2968
2,Midwest,3,East North Central,IL,17,Illinois,2019,5,3,2918
2,Midwest,3,East North Central,IL,17,Illinois,2019,4,3,2577
2,Midwest,3,East North Central,IL,17,Illinois,2019,2,3,2875
2,Midwest,3,East North Central,IL,17,Illinois,2017,2,4,127384
2,Midwest,3,East North Central,IL,17,Illinois,2019,4,5,455
2,Midwest,3,East North Central,IL,17,Illinois,2017,1,6,27932
2,Midwest,3,East North Central,IL,17,Illinois,2019,5,1,1172813
2,Midwest,3,East North Central,IL,17,Illinois,2019,3,1,946168
2,Midwest,3,East North Central,IL,17,Illinois,2017,6,7,130195
2,Midwest,3,East North Central,IL,17,Illinois,2018,2,2,271312
2,Midwest,3,East North Central,IL,17,Illinois,2018,2,7,337891
2,Midwest,3,East North Central,IL,17,Illinois,2019,6,5,372
2,Midwest,3,East North Central,IL,17,Illinois,2018,3,4,119633
2,Midwest,3,East North Central,IL,17,Illinois,2017,1,1,638630
2,Midwest,3,East North Central,IL,17,Illinois,2018,6,2,229940
2,Midwest,3,East North Central,IL,17,Illinois,2017,4,4,93997
2,Midwest,3,East North Central,IL,17,Illinois,2017,2,3,2787
2,Midwest,3,East North Central,IL,17,Illinois,2017,1,4,68063
2,Midwest,3,East North Central,IN,18,Indiana,2018,2,4,29186
